,0
SOX9,0.018322677127785934
RASSF7,0.01772692780151435
IDH1,0.014780828042658204
PIAS3,0.014700725174602913
CCNA1,0.013707567161383955
SNAI2,0.012833763475256188
CCND1,0.012387735680189003
CCND2,0.012276488133860553
NCAPD3,0.012231844953432991
CCNE1,0.012069813113237397
RBM38,0.011969766632261318
CDK2,0.011950451875647208
MVP,0.011651267794598318
HES1,0.011582101509671419
GADD45G,0.011227320199530577
AHCYL1,0.011173844216368193
SDCBP,0.010544660765606772
YWHAG,0.009894107888833709
SOD1,0.009539041210717636
UBE2NL,0.009098475384159041
PTBP1,0.008321403151816826
UBD,0.00829589820043107
CCNO,0.008250602254920185
SOX4,0.008239020215209138
KPNA2,0.008055466904398277
DKC1,0.007963301536156856
CETN2,0.007909947330224962
UNG,0.007649488720016547
PARP3,0.007444239118873761
YBX1,0.007293634020544047
