gene,f_stat,p_value
DHX36,144.85745646843677,3.3122024128037816e-114
DDX42,144.3558590527897,7.749252361445e-114
RPA3,144.33278945055022,8.058274050492882e-114
ARID3A,144.2758799445532,8.874349519846056e-114
MCM9,144.2570796604216,9.161721277896583e-114
HLTF,143.78230656358107,2.0492112535368206e-113
NAE1,143.02774749899734,7.371722337703741e-113
CLK2,142.56781158187343,1.6094311622422905e-112
DDX11,142.3952778990164,2.1573446030980177e-112
CLSPN,142.03168334180904,4.0008366643674657e-112
CCNC,141.43076147812235,1.1109135897092642e-111
SMC6,141.01762890403717,2.242656480019791e-111
PRKDC,141.01597888489553,2.2489587374685466e-111
FOXM1,140.77235269982805,3.4036922555904914e-111
ANKRD28,140.526272792615,5.173409424467608e-111
MRPL40,140.49539191696843,5.452525438136059e-111
COPS7A,140.35999531231326,6.86536647362428e-111
POLR2G,140.3595246103667,6.870868316607244e-111
PPP5C,139.3278481758816,3.980460122839931e-110
TOPBP1,139.1055330054637,5.81352322333501e-110
FANCG,138.90897415027212,8.126764028242075e-110
PIAS1,137.62502307732507,7.259690053369962e-109
PPP4R2,137.05304994012832,1.9273859741826946e-108
SLX4,136.39817249269262,5.899106441639745e-108
NPLOC4,135.92195196380072,1.3312863481671669e-107
NTHL1,135.85288115672716,1.4981491470521745e-107
DDB1,135.73249234438453,1.8405590334674168e-107
C17orf70,135.26550109505777,4.0908900227554643e-107
SMC5,135.05006397889807,5.914174143281209e-107
EYA3,134.92560454962498,7.317913128694087e-107
NSMCE2,134.83839214763816,8.495851622223614e-107
CIB1,133.7474420371776,5.502129279537978e-106
RAD54B,133.4808358604022,8.688388381339095e-106
TOP3B,133.26108335075654,1.2662507399629359e-105
PBRM1,133.0494099517903,1.820207532881354e-105
TADA2B,132.34785304732742,6.063282086246606e-105
SETX,131.36478384240908,3.2780982094757345e-104
STOML2,130.78220343352228,8.91875928531557e-104
YWHAG,130.39393495508483,1.7383935475947284e-103
TOP2A,129.6646044278464,6.094060283776774e-103
LIG4,129.64839987314485,6.266355408150353e-103
GRB2,129.51597759291604,7.869921144417488e-103
MLH3,129.50634259054382,8.001489942599957e-103
GTF2H4,128.79224000362373,2.7354923435120184e-102
SMARCAD1,128.78898109169984,2.750887103068538e-102
DNA2,128.47471407202556,4.7265458328075715e-102
XRCC2,127.76242588615932,1.6129242748157087e-101
TELO2,127.72859555620437,1.7097868171470035e-101
BABAM1,127.68203070100185,1.8527014004404445e-101
RNMT,127.26092439311103,3.829715072763387e-101
DBF4,127.17577063895311,4.435611843161727e-101
NDNL2,126.99272648451951,6.082572432312818e-101
FBXW7,126.98019964251962,6.215458042370428e-101
HES1,126.72014799075217,9.735234070533099e-101
CUL5,126.40334970779136,1.6819523078031414e-100
ATXN7L3,126.163124526782,2.5464449499818636e-100
XAB2,125.42927438973767,9.045845664898268e-100
SNAI2,124.93788708078678,2.114980983105104e-99
MTOR,122.91848135083356,6.968133229788592e-98
MSH2,122.63683644107496,1.1351527106151061e-97
KDM5A,122.32401139214451,1.952212369441544e-97
NAP1L4,122.16944463192812,2.552125412288903e-97
MRE11A,121.94310989724096,3.7787240120830853e-97
CENPO,121.90363605225534,4.046460666156298e-97
TFPT,121.73718673408874,5.400720155793269e-97
RAD51AP1,121.56424965277917,7.290168801793458e-97
PIAS2,120.92321077714107,2.2175845654957965e-96
NCAPD3,120.66935705536709,3.4458345746974944e-96
SLBP,120.07712857690696,9.639374741968679e-96
POLD2,119.83434721925232,1.4698480768720165e-95
PMS1,119.44854015196282,2.8742835492895294e-95
BRCA1,119.33817362316309,3.482329243660803e-95
CNOT7,118.1846237416804,2.591240187559986e-94
PIAS4,116.76313314388923,3.083399270182351e-93
BAZ1B,116.64201930424997,3.80837067997297e-93
ASNA1,116.08739084996095,1.0019809964870012e-92
UBD,114.81335663955902,9.264575305923248e-92
GTF2H5,114.5583376129226,1.4465453302091395e-91
USP1,114.35611833568967,2.0597319433133596e-91
RFC4,114.24115240453466,2.518145590073092e-91
DDIT4L,114.13309667954094,3.0416896134323744e-91
TRA2B,113.46370541131229,9.806389278097269e-91
PPP2CA,112.2446757450536,8.284176059815175e-90
HAUS3,111.85569890001015,1.637592381904892e-89
BRD4,111.57565962056174,2.675160140677798e-89
PPP1CC,111.1626261199731,5.5186273347367034e-89
NCAPG2,109.55898582417873,9.206741409114105e-88
TREX2,108.88818040927731,2.9921729958293207e-87
RPRD1B,108.75816052171375,3.7604848389738512e-87
RPS6KA6,108.35954646147948,7.57929587479729e-87
