,mean,std
ABCC1,9.915658537455052,11.257588932777027
ABL1,12.01277905657559,5.519802642060259
ACD,133.4708303742407,66.16191722670833
ACTB,2560.1075245901297,1349.8421667905354
ACTL6A,46.46619882525736,31.57450899134783
ACTR1A,99.53596340984078,42.42191772272653
ACTR5,10.28754136056548,4.538533495158152
ACTR8,28.786266100981873,10.838453260778834
AEN,60.28752656728518,37.790647438906255
AHCYL1,100.2720610782848,113.22297488590668
ALKBH1,6.1714077981108195,1.9509450786156708
ALKBH2,62.22446753128858,41.64152253346032
ALKBH3,8.343895919362616,4.0129167714704534
AMN1,3.528383994275861,2.5386266768651073
ANAPC2,59.53026626598293,28.723421218909984
ANKRD17,11.367166675334088,5.274050926655454
ANKRD28,5.700059558767035,4.323899707447499
ANKRD44,0.9285470407518795,1.0923954820631685
ANKRD52,67.75367075422395,35.30974755534049
APEX1,1187.7093146299349,553.4173121115053
APEX2,82.78218908366759,40.415540649158864
APITD1,5.524372026664948,3.329947298429395
APLF,0.4128611652166688,0.3053064556018761
APTX,10.426023629023833,4.394213008744115
AR,5.9202354380990485,10.216480964755085
ARID1A,29.165455217128947,14.423962325675861
ARID1B,3.7128116064670693,1.6604011264545069
ARID2,4.123170534182562,2.398637713458001
ARID3A,3.483537762093445,5.555568803806094
ARPC4,186.1809793979041,103.24312971579666
ASCC1,4.380413190025832,2.0514087384667774
ASCC3,2.7202294306306127,1.497085235324652
ASF1A,29.74472225873266,15.152236767695948
ASF1B,30.360233290997613,28.12253107989693
ASH2L,26.195146623997573,22.70246306354922
ASNA1,136.5458209074431,73.57705795743317
ATAD5,2.3216360087566845,2.829040516449497
ATF2,10.316803386131523,4.1673887786396575
ATM,6.903510957623631,5.767414497677441
ATR,4.868329457669973,2.5295688300170234
ATRIP,13.983905493800073,7.835654528749434
ATRX,5.363019537669228,3.4792500879667325
ATXN3,7.8555450203449055,4.018363956322126
ATXN7L3,175.59005299878942,65.29172230980954
BABAM1,103.42209034855054,53.55345654885074
BAP1,189.04884031395568,81.96539840459513
BARD1,1.1539103742945698,1.017264353816904
BAZ1A,9.235197184194513,6.889448476913812
BAZ1B,27.6102519025995,9.200437608091555
BBC3,21.68549202854317,18.234257986264193
BCAS2,41.84433559714211,18.1206872830647
BCL2,3.9230022968378213,5.196503188320025
BCL2L1,56.33090989879237,36.47853060456361
BCL2L11,14.858758019259746,8.074890460788007
BCL3,110.3310239654801,121.87032019232865
BEND3,3.6803533890639546,3.3859144440532876
BLM,2.067177542465225,1.9316991440134963
BMPR2,10.262005199324005,6.527752439187633
BRCA1,4.340454812062572,3.2019724414597057
BRCA2,1.9950029194117713,2.707481086634087
BRCC3,10.189007535736284,5.934055259233712
BRD1,14.821986123623425,5.305384862478006
BRD4,21.018794338681882,11.088246436470433
BRD7,9.783487798303657,3.3716531625590997
BRE,1.8744035512403512,1.0162276997872157
BRIP1,0.9011618296040285,0.840477959109305
BRMS1,141.27836994741446,106.38114947112567
BTG2,828.4240652374388,1011.8012065491909
C17orf53,5.979697382180225,4.96154040714454
C17orf70,69.62182375756443,34.47012294320932
C19orf40,9.913751901717298,8.04982394844884
C1orf86,25.567412443335883,22.651314263096108
C20orf196,0.9203435341265774,0.6271861992685899
C7orf49,7.207664271453335,4.6208347796882885
C9orf142,436.8022634575539,378.7468388870526
CABIN1,10.950792670318876,5.679152708965539
CALM3,634.9814156968426,419.03969225530415
CAPZA1,50.29939253610192,20.52230759657176
CAPZB,31.992400257208367,11.431189400659665
CBX1,44.740099602447906,24.068622956866626
CCAR1,17.49850394909047,6.2510290211672075
CCNA1,14.044834888903676,47.87544782718283
CCNA2,62.47220405353043,57.259926280376504
CCNB1,84.23476115251569,68.04592403413878
CCNB2,20.594525174794523,17.98170392935448
CCNB3,0.1471865024079481,0.20986846742948967
CCNC,39.203022333356785,20.322993991094275
CCND1,530.0267209767658,742.5992294291109
CCND2,73.0543975792739,107.16316339493433
CCND3,14.402740232651649,12.552635226368917
CCNE1,21.72215541255948,49.1898804052287
CCNF,28.580395529121226,40.573129374750984
CCNH,20.447588398807195,10.178250520438025
CCNO,67.4919459677879,139.72653824167307
CDC25A,5.941643185636027,4.978240265557329
CDC25B,95.58414589664726,81.38590439694714
CDC25C,1.986723582567501,1.780739847736655
CDC5L,18.318166722193915,7.51045209333963
CDC6,28.95433215646546,53.79630944325357
CDCA5,29.511946603477302,25.950399255291565
CDK10,62.646984747000836,50.35125386703682
CDK12,11.86116976211502,13.904665135387367
CDK2,167.5169870783694,308.8109615329517
CDK4,365.1939939113608,782.7051999736976
CDK7,5.483489274706193,2.6971880132395323
CDKN1A,325.6896309077127,326.4370037467349
CDKN2A,27.58581359653392,61.02056796487399
CDKN2D,82.16929397987008,72.97879495250227
CDYL,2.4246579886732325,1.1042014376456077
CELF1,23.471304187263197,7.7821213143755035
CENPO,10.439331383854455,5.103581266653432
CETN2,331.70270461353783,217.31032403470388
CHAF1A,13.004860135012269,8.072231372503019
CHEK1,6.67407233746404,4.160888802852552
CHEK2,4.584351434754739,3.2076892282200804
CHERP,58.28097198063417,25.857438481535393
CHRAC1,133.49343504382227,71.5186897202316
CHTF18,35.31742226391294,30.981118791940446
CHTF8,107.38790257746751,38.356678422851225
CIB1,662.6073843379806,490.72997721218263
CIRBP,337.89504599933446,259.3709950116086
CLASP2,5.017877368716211,5.953992967021593
CLK2,43.96779104473594,21.69393393168829
CLSPN,4.461784733813216,4.199332339227973
CNOT1,32.64087944177273,14.125143090573342
CNOT10,6.28758356342097,1.9399056441394664
