,0
TP63,0.014112221945653465
ESR1,0.013850959553073574
PPARG,0.013622413892888187
SOX9,0.01033743859134649
LRRK2,0.009837321057002375
AR,0.008531001521466687
HIRA,0.00775836780343951
RASSF7,0.007573547784964945
CLASP2,0.007443966642933166
NCAPD3,0.00743127466023766
CCNA1,0.007266700337387285
NAP1L4,0.007124757868464843
HES1,0.0070943784286880505
CDK2,0.007040506119615866
CCND1,0.006678826659810925
RBM38,0.006643976784751208
PIAS3,0.006395518414784738
IDH1,0.006365111838089941
PPP4R1,0.006357333218201116
GRB2,0.006090510359191287
NACC2,0.006007521513670445
SDCBP,0.0057646516031109925
ABCC1,0.005639714599329551
AHCYL1,0.0054765844756792395
CCND2,0.005447124373721359
CCNE1,0.005420549123424929
SETMAR,0.005377197832768708
TADA2B,0.005348083805857834
TERF2IP,0.0051748988959650685
FANCE,0.005169739970669629
